Version;ID;Gender;Age;Education;Nationality;Residence;Income;Clothes;JeansFreq;JeansPay;ConcernEnv;ConcernSwt;Skepticism;Question;Price1;Origin1;Fiber1;Wash1;Dry1;Env1;Labor1;EnvLabor1;Price2;Origin2;Fiber2;Wash2;Dry2;Env2;Labor2;EnvLabor2;Choice
1;1;1;34;5;1;1;65000;70;0;95;6.666666667;6.6;4.5;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;1
1;2;0;62;3;1;1;5000;30;0;45;7;7;4;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;3
1;2;0;62;3;1;1;5000;30;0;45;7;7;4;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;3
1;2;0;62;3;1;1;5000;30;0;45;7;7;4;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;3
1;2;0;62;3;1;1;5000;30;0;45;7;7;4;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;1
1;2;0;62;3;1;1;5000;30;0;45;7;7;4;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;1
1;2;0;62;3;1;1;5000;30;0;45;7;7;4;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;3
1;2;0;62;3;1;1;5000;30;0;45;7;7;4;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;1
1;2;0;62;3;1;1;5000;30;0;45;7;7;4;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;1
1;2;0;62;3;1;1;5000;30;0;45;7;7;4;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;2
1;2;0;62;3;1;1;5000;30;0;45;7;7;4;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;1
1;2;0;62;3;1;1;5000;30;0;45;7;7;4;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;3
1;2;0;62;3;1;1;5000;30;0;45;7;7;4;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;1
1;3;0;32;3;1;1;45000;30;0;85;6.833333333;6.8;3.25;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;2
1;3;0;32;3;1;1;45000;30;0;85;6.833333333;6.8;3.25;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;2
1;3;0;32;3;1;1;45000;30;0;85;6.833333333;6.8;3.25;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;1
1;3;0;32;3;1;1;45000;30;0;85;6.833333333;6.8;3.25;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;1
1;3;0;32;3;1;1;45000;30;0;85;6.833333333;6.8;3.25;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;1
1;3;0;32;3;1;1;45000;30;0;85;6.833333333;6.8;3.25;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;3
1;3;0;32;3;1;1;45000;30;0;85;6.833333333;6.8;3.25;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;1
1;3;0;32;3;1;1;45000;30;0;85;6.833333333;6.8;3.25;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;1
1;3;0;32;3;1;1;45000;30;0;85;6.833333333;6.8;3.25;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;2
1;3;0;32;3;1;1;45000;30;0;85;6.833333333;6.8;3.25;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;1
1;3;0;32;3;1;1;45000;30;0;85;6.833333333;6.8;3.25;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;3
1;3;0;32;3;1;1;45000;30;0;85;6.833333333;6.8;3.25;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;1
1;4;0;30;4;0;1;45000;70;1;35;5.666666667;3.6;4.5;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;2
1;4;0;30;4;0;1;45000;70;1;35;5.666666667;3.6;4.5;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;1
1;4;0;30;4;0;1;45000;70;1;35;5.666666667;3.6;4.5;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;1
1;4;0;30;4;0;1;45000;70;1;35;5.666666667;3.6;4.5;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;1
1;4;0;30;4;0;1;45000;70;1;35;5.666666667;3.6;4.5;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;2
1;4;0;30;4;0;1;45000;70;1;35;5.666666667;3.6;4.5;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;2
1;4;0;30;4;0;1;45000;70;1;35;5.666666667;3.6;4.5;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;1
1;4;0;30;4;0;1;45000;70;1;35;5.666666667;3.6;4.5;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;2
1;4;0;30;4;0;1;45000;70;1;35;5.666666667;3.6;4.5;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;1
1;4;0;30;4;0;1;45000;70;1;35;5.666666667;3.6;4.5;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;1
1;4;0;30;4;0;1;45000;70;1;35;5.666666667;3.6;4.5;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;2
1;4;0;30;4;0;1;45000;70;1;35;5.666666667;3.6;4.5;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;2
1;5;1;20;3;0;0;5000;10;1;5;6.333333333;3.8;4.25;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;1
1;5;1;20;3;0;0;5000;10;1;5;6.333333333;3.8;4.25;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;2
1;5;1;20;3;0;0;5000;10;1;5;6.333333333;3.8;4.25;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;1
1;5;1;20;3;0;0;5000;10;1;5;6.333333333;3.8;4.25;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;1
1;5;1;20;3;0;0;5000;10;1;5;6.333333333;3.8;4.25;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;1
1;5;1;20;3;0;0;5000;10;1;5;6.333333333;3.8;4.25;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;1
1;5;1;20;3;0;0;5000;10;1;5;6.333333333;3.8;4.25;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;3
1;5;1;20;3;0;0;5000;10;1;5;6.333333333;3.8;4.25;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;3
1;5;1;20;3;0;0;5000;10;1;5;6.333333333;3.8;4.25;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;1
1;5;1;20;3;0;0;5000;10;1;5;6.333333333;3.8;4.25;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;3
1;5;1;20;3;0;0;5000;10;1;5;6.333333333;3.8;4.25;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;2
1;5;1;20;3;0;0;5000;10;1;5;6.333333333;3.8;4.25;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;1
1;6;1;27;4;0;1;5000;10;0;35;6;5.6;5.25;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;3
1;6;1;27;4;0;1;5000;10;0;35;6;5.6;5.25;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;3
1;6;1;27;4;0;1;5000;10;0;35;6;5.6;5.25;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;3
1;6;1;27;4;0;1;5000;10;0;35;6;5.6;5.25;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;3
1;6;1;27;4;0;1;5000;10;0;35;6;5.6;5.25;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;3
1;6;1;27;4;0;1;5000;10;0;35;6;5.6;5.25;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;3
1;6;1;27;4;0;1;5000;10;0;35;6;5.6;5.25;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;3
1;6;1;27;4;0;1;5000;10;0;35;6;5.6;5.25;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;3
1;6;1;27;4;0;1;5000;10;0;35;6;5.6;5.25;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;3
1;6;1;27;4;0;1;5000;10;0;35;6;5.6;5.25;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;3
1;6;1;27;4;0;1;5000;10;0;35;6;5.6;5.25;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;3
1;6;1;27;4;0;1;5000;10;0;35;6;5.6;5.25;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;3
1;7;1;27;1;1;1;25000;10;0;15;7;5.8;6;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;3
1;7;1;27;1;1;1;25000;10;0;15;7;5.8;6;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;3
1;7;1;27;1;1;1;25000;10;0;15;7;5.8;6;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;3
1;7;1;27;1;1;1;25000;10;0;15;7;5.8;6;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;3
1;7;1;27;1;1;1;25000;10;0;15;7;5.8;6;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;3
1;7;1;27;1;1;1;25000;10;0;15;7;5.8;6;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;3
1;7;1;27;1;1;1;25000;10;0;15;7;5.8;6;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;3
1;7;1;27;1;1;1;25000;10;0;15;7;5.8;6;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;3
1;7;1;27;1;1;1;25000;10;0;15;7;5.8;6;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;3
1;7;1;27;1;1;1;25000;10;0;15;7;5.8;6;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;3
1;7;1;27;1;1;1;25000;10;0;15;7;5.8;6;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;3
1;7;1;27;1;1;1;25000;10;0;15;7;5.8;6;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;3
1;8;1;50;4;1;1;75000;30;1;95;6.666666667;5.8;5.5;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;3
1;8;1;50;4;1;1;75000;30;1;95;6.666666667;5.8;5.5;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;3
1;8;1;50;4;1;1;75000;30;1;95;6.666666667;5.8;5.5;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;2
1;8;1;50;4;1;1;75000;30;1;95;6.666666667;5.8;5.5;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;1
1;8;1;50;4;1;1;75000;30;1;95;6.666666667;5.8;5.5;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;1
1;8;1;50;4;1;1;75000;30;1;95;6.666666667;5.8;5.5;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;3
1;8;1;50;4;1;1;75000;30;1;95;6.666666667;5.8;5.5;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;2
1;8;1;50;4;1;1;75000;30;1;95;6.666666667;5.8;5.5;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;3
1;8;1;50;4;1;1;75000;30;1;95;6.666666667;5.8;5.5;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;2
1;8;1;50;4;1;1;75000;30;1;95;6.666666667;5.8;5.5;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;1
1;8;1;50;4;1;1;75000;30;1;95;6.666666667;5.8;5.5;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;3
1;8;1;50;4;1;1;75000;30;1;95;6.666666667;5.8;5.5;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;1
1;9;1;29;1;1;1;25000;10;1;25;6.166666667;7;5.75;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;3
1;9;1;29;1;1;1;25000;10;1;25;6.166666667;7;5.75;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;3
1;9;1;29;1;1;1;25000;10;1;25;6.166666667;7;5.75;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;3
1;9;1;29;1;1;1;25000;10;1;25;6.166666667;7;5.75;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;1
1;9;1;29;1;1;1;25000;10;1;25;6.166666667;7;5.75;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;1
1;9;1;29;1;1;1;25000;10;1;25;6.166666667;7;5.75;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;3
1;9;1;29;1;1;1;25000;10;1;25;6.166666667;7;5.75;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;3
1;9;1;29;1;1;1;25000;10;1;25;6.166666667;7;5.75;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;3
1;9;1;29;1;1;1;25000;10;1;25;6.166666667;7;5.75;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;2
1;9;1;29;1;1;1;25000;10;1;25;6.166666667;7;5.75;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;1
1;9;1;29;1;1;1;25000;10;1;25;6.166666667;7;5.75;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;3
1;9;1;29;1;1;1;25000;10;1;25;6.166666667;7;5.75;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;1
1;10;1;38;2;1;1;25000;50;0;75;5.5;5.4;3;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;2
1;10;1;38;2;1;1;25000;50;0;75;5.5;5.4;3;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;1
1;10;1;38;2;1;1;25000;50;0;75;5.5;5.4;3;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;3
1;10;1;38;2;1;1;25000;50;0;75;5.5;5.4;3;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;3
1;10;1;38;2;1;1;25000;50;0;75;5.5;5.4;3;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;1
1;10;1;38;2;1;1;25000;50;0;75;5.5;5.4;3;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;3
1;10;1;38;2;1;1;25000;50;0;75;5.5;5.4;3;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;2
1;10;1;38;2;1;1;25000;50;0;75;5.5;5.4;3;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;3
1;10;1;38;2;1;1;25000;50;0;75;5.5;5.4;3;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;2
1;10;1;38;2;1;1;25000;50;0;75;5.5;5.4;3;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;1
1;10;1;38;2;1;1;25000;50;0;75;5.5;5.4;3;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;3
1;10;1;38;2;1;1;25000;50;0;75;5.5;5.4;3;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;1
1;11;1;26;4;0;1;25000;30;1;45;5.666666667;5.4;3.25;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;2
1;11;1;26;4;0;1;25000;30;1;45;5.666666667;5.4;3.25;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;1
1;11;1;26;4;0;1;25000;30;1;45;5.666666667;5.4;3.25;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;2
1;11;1;26;4;0;1;25000;30;1;45;5.666666667;5.4;3.25;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;1
1;11;1;26;4;0;1;25000;30;1;45;5.666666667;5.4;3.25;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;2
1;11;1;26;4;0;1;25000;30;1;45;5.666666667;5.4;3.25;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;3
1;11;1;26;4;0;1;25000;30;1;45;5.666666667;5.4;3.25;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;2
1;11;1;26;4;0;1;25000;30;1;45;5.666666667;5.4;3.25;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;1
1;11;1;26;4;0;1;25000;30;1;45;5.666666667;5.4;3.25;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;2
1;11;1;26;4;0;1;25000;30;1;45;5.666666667;5.4;3.25;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;1
1;11;1;26;4;0;1;25000;30;1;45;5.666666667;5.4;3.25;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;2
1;11;1;26;4;0;1;25000;30;1;45;5.666666667;5.4;3.25;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;1
1;12;1;40;3;1;1;25000;50;1;55;7;4.6;3.5;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;3
1;12;1;40;3;1;1;25000;50;1;55;7;4.6;3.5;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;3
1;12;1;40;3;1;1;25000;50;1;55;7;4.6;3.5;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;3
1;12;1;40;3;1;1;25000;50;1;55;7;4.6;3.5;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;1
1;12;1;40;3;1;1;25000;50;1;55;7;4.6;3.5;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;1
1;12;1;40;3;1;1;25000;50;1;55;7;4.6;3.5;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;3
1;12;1;40;3;1;1;25000;50;1;55;7;4.6;3.5;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;3
1;12;1;40;3;1;1;25000;50;1;55;7;4.6;3.5;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;1
1;12;1;40;3;1;1;25000;50;1;55;7;4.6;3.5;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;3
1;12;1;40;3;1;1;25000;50;1;55;7;4.6;3.5;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;1
1;12;1;40;3;1;1;25000;50;1;55;7;4.6;3.5;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;3
1;12;1;40;3;1;1;25000;50;1;55;7;4.6;3.5;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;1
1;13;1;32;3;0;1;45000;70;1;45;6;4;4.75;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;3
1;13;1;32;3;0;1;45000;70;1;45;6;4;4.75;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;3
1;13;1;32;3;0;1;45000;70;1;45;6;4;4.75;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;3
1;13;1;32;3;0;1;45000;70;1;45;6;4;4.75;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;3
1;13;1;32;3;0;1;45000;70;1;45;6;4;4.75;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;1
1;13;1;32;3;0;1;45000;70;1;45;6;4;4.75;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;3
1;13;1;32;3;0;1;45000;70;1;45;6;4;4.75;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;3
1;13;1;32;3;0;1;45000;70;1;45;6;4;4.75;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;1
1;13;1;32;3;0;1;45000;70;1;45;6;4;4.75;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;2
1;13;1;32;3;0;1;45000;70;1;45;6;4;4.75;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;1
1;13;1;32;3;0;1;45000;70;1;45;6;4;4.75;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;3
1;13;1;32;3;0;1;45000;70;1;45;6;4;4.75;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;1
1;14;1;31;5;0;1;55000;90;1;25;4.5;4.2;6.25;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;2
1;14;1;31;5;0;1;55000;90;1;25;4.5;4.2;6.25;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;1
1;14;1;31;5;0;1;55000;90;1;25;4.5;4.2;6.25;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;1
1;14;1;31;5;0;1;55000;90;1;25;4.5;4.2;6.25;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;1
1;14;1;31;5;0;1;55000;90;1;25;4.5;4.2;6.25;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;2
1;14;1;31;5;0;1;55000;90;1;25;4.5;4.2;6.25;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;2
1;14;1;31;5;0;1;55000;90;1;25;4.5;4.2;6.25;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;1
1;14;1;31;5;0;1;55000;90;1;25;4.5;4.2;6.25;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;2
1;14;1;31;5;0;1;55000;90;1;25;4.5;4.2;6.25;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;1
1;14;1;31;5;0;1;55000;90;1;25;4.5;4.2;6.25;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;1
1;14;1;31;5;0;1;55000;90;1;25;4.5;4.2;6.25;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;2
1;14;1;31;5;0;1;55000;90;1;25;4.5;4.2;6.25;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;2
1;15;0;23;4;1;1;5000;30;0;95;6.833333333;6.8;4;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;3
1;15;0;23;4;1;1;5000;30;0;95;6.833333333;6.8;4;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;3
1;15;0;23;4;1;1;5000;30;0;95;6.833333333;6.8;4;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;3
1;15;0;23;4;1;1;5000;30;0;95;6.833333333;6.8;4;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;2
1;15;0;23;4;1;1;5000;30;0;95;6.833333333;6.8;4;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;1
1;15;0;23;4;1;1;5000;30;0;95;6.833333333;6.8;4;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;3
1;15;0;23;4;1;1;5000;30;0;95;6.833333333;6.8;4;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;3
1;15;0;23;4;1;1;5000;30;0;95;6.833333333;6.8;4;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;3
1;15;0;23;4;1;1;5000;30;0;95;6.833333333;6.8;4;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;1
1;15;0;23;4;1;1;5000;30;0;95;6.833333333;6.8;4;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;1
1;15;0;23;4;1;1;5000;30;0;95;6.833333333;6.8;4;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;3
1;15;0;23;4;1;1;5000;30;0;95;6.833333333;6.8;4;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;2
1;16;0;25;4;0;1;5000;10;1;5;6.833333333;4.8;5;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;3
1;16;0;25;4;0;1;5000;10;1;5;6.833333333;4.8;5;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;3
1;16;0;25;4;0;1;5000;10;1;5;6.833333333;4.8;5;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;3
1;16;0;25;4;0;1;5000;10;1;5;6.833333333;4.8;5;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;3
1;16;0;25;4;0;1;5000;10;1;5;6.833333333;4.8;5;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;3
1;16;0;25;4;0;1;5000;10;1;5;6.833333333;4.8;5;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;3
1;16;0;25;4;0;1;5000;10;1;5;6.833333333;4.8;5;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;3
1;16;0;25;4;0;1;5000;10;1;5;6.833333333;4.8;5;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;3
1;16;0;25;4;0;1;5000;10;1;5;6.833333333;4.8;5;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;1
1;16;0;25;4;0;1;5000;10;1;5;6.833333333;4.8;5;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;3
1;16;0;25;4;0;1;5000;10;1;5;6.833333333;4.8;5;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;3
1;16;0;25;4;0;1;5000;10;1;5;6.833333333;4.8;5;12;60;1;1;1;1;4;4;8;40;0;0;0;1;4;3;7;1
1;17;0;28;3;0;1;25000;70;1;45;5.833333333;6;2.25;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;3
1;17;0;28;3;0;1;25000;70;1;45;5.833333333;6;2.25;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;3
